Tree	Validity	Type	Sequence_MA	Sequence_MM	Sequence_AD	Sequence_MU	Shape
ENSGT00390000011759	valid	1	TRAMA00000033455	APAMM00000061745	APAAD00000049885	APAMU00000053383	(MA,(MM,(AD,MU)));
ENSGT00390000002307	valid	1	TRAMA00000034515	APAMM00000031568	APAAD00000025434	APAMU00000027263	(MA,(MM,(AD,MU)));
ENSGT00840000129946	valid	1	APAMA00000049165	APAMM00000046916	APAAD00000037755	APAMU00000040475	(MA,(MM,(AD,MU)));
ENSGT00390000005270	valid	1	TRAMA00000015215	APAMM00000028192	APAAD00000022685	APAMU00000024333	(MA,(MM,(AD,MU)));
ENSGT00390000008808	valid	1	APAMA00000067000	APAMM00000064174	APAAD00000051743	APAMU00000055458	(MA,(MM,(AD,MU)));
ENSGT00890000139481	valid	1	APAMA00000059431	APAMM00000056922	APAAD00000046024	APAMU00000049245	(MA,(MM,(AD,MU)));
ENSGT00390000000754	valid	1	APAMA00000048261	APAMM00000046015	APAAD00000037057	APAMU00000039746	(MA,(MM,(AD,MU)));
ENSGT00390000000754	valid	1	TRAMA00000025136	APAMM00000046013	APAAD00000037060	APAMU00000039749	(MA,(MM,(AD,MU)));
ENSGT00390000000754	valid	1	APAMA00000048263	APAMM00000046019	APAAD00000037059	APAMU00000039745	(MA,(MM,(AD,MU)));
ENSGT00390000013141	valid	1	APAMA00000002236	APAMM00000002205	APAAD00000001790	APAMU00000001833	(MA,(MM,(AD,MU)));
ENSGT00390000001053	valid	1	APAMA00000022460	APAMM00000021314	APAAD00000017166	APAMU00000018467	(MA,(MM,(AD,MU)));
ENSGT00390000014072	valid	1	APAMA00000052833	APAMM00000050513	APAAD00000040701	APAMU00000043561	(MA,(MM,(AD,MU)));
ENSGT00390000014072	valid	1	APAMA00000052835	TRAMM00000026424	TRAAD00000023085	TRAMU00000025409	(MA,(MM,(AD,MU)));
ENSGT00550000074863	valid	1	APAMA00000011286	APAMM00000010764	TRAAD00000004878	APAMU00000009365	(MA,(MM,(AD,MU)));
ENSGT00390000003107	valid	1	TRAMA00000011580	APAMM00000021982	APAAD00000017611	APAMU00000018945	(MA,(MM,(AD,MU)));
ENSGT00390000003107	valid	1	APAMA00000023096	APAMM00000021976	APAAD00000017614	APAMU00000018947	(MA,(MM,(AD,MU)));
ENSGT00520000055622	valid	1	APAMA00000021561	TRAMM00000010598	APAAD00000016449	APAMU00000017708	(MA,(MM,(AD,MU)));
ENSGT00520000055622	valid	1	APAMA00000021553	TRAMM00000010596	TRAAD00000009244	TRAMU00000010138	(MA,(MM,(AD,MU)));
ENSGT00550000075005	valid	1	APAMA00000000942	APAMM00000000953	APAAD00000000739	APAMU00000000815	(MA,(MM,(AD,MU)));
ENSGT00390000004110	valid	1	APAMA00000006931	APAMM00000006770	APAAD00000005418	APAMU00000005780	(MA,(MM,(AD,MU)));
ENSGT00890000139377	valid	1	APAMA00000025333	APAMM00000024062	APAAD00000019353	APAMU00000020731	(MA,(MM,(AD,MU)));
ENSGT00390000002222	valid	1	APAMA00000046360	APAMM00000044118	APAAD00000035541	APAMU00000038166	(MA,(MM,(AD,MU)));
ENSGT00390000012263	valid	1	APAMA00000060195	APAMM00000057652	APAAD00000046615	APAMU00000049877	(MA,(MM,(AD,MU)));
ENSGT00390000012263	valid	1	APAMA00000060191	APAMM00000057650	APAAD00000046620	APAMU00000049879	(MA,(MM,(AD,MU)));
ENSGT00390000012263	valid	1	APAMA00000060197	APAMM00000057653	APAAD00000046621	APAMU00000049876	(MA,(MM,(AD,MU)));
ENSGT00710000106813	valid	1	APAMA00000030507	APAMM00000028957	APAAD00000023262	TRAMU00000014551	(MA,(MM,(AD,MU)));
ENSGT00440000037341	valid	1	APAMA00000043050	APAMM00000040889	APAAD00000033010	TRAMU00000020620	(MA,(MM,(AD,MU)));
ENSGT00440000037341	valid	1	APAMA00000043045	APAMM00000040883	APAAD00000033006	APAMU00000035338	(MA,(MM,(AD,MU)));
ENSGT00440000037341	valid	1	APAMA00000043046	APAMM00000040892	APAAD00000033012	APAMU00000035333	(MA,(MM,(AD,MU)));
